名前,ジャンル,住所
イオンモール和歌山,スペード,"和歌山県和歌山市ふじと台２３"
パームシティ和歌山,スペード,"和歌山県和歌山市中野３１－１"
和歌山MIO,スペード,"和歌山県和歌山市美園町５丁目６１"
CiTY!WAKAYAMA,スペード,"和歌山県和歌山市元寺町５丁目５８"
アメリカ村,スペード,"大阪府大阪市中央区西心斎橋"
枚方 T-SITE,スペード,"大阪府枚方市岡東町12-2"
メッサオークワ ガーデンパーク和歌山店,スペード,"和歌山県和歌山市松江１４６９－１"
MIHO MUSEUM,ハート,"滋賀県甲賀市信楽町田代桃谷３００"
国立国際美術館,ハート,"大阪府大阪市北区中之島４－２－５５"
チームラボアイランド,ハート,"大阪府枚方市枚方公園町１－１"
生きているミュージアム ニフレル,ハート,"大阪府吹田市千里万博公園２－１"
藤田美術館,ハート,"大阪府大阪市都島区網島町１０－３２"
奈良県立美術館,ハート,"奈良県奈良市登大路町１０－６"
日本玩具博物館,ハート,"兵庫県姫路市香寺町中仁野６７１－３"
熊野古道なかへち美術館,ハート,"和歌山県田辺市中辺路町近露８９１"
加太海水浴場,クローバー,"和歌山県和歌山市加太"
マリンパーク磯の浦,クローバー,"和歌山県和歌山市磯の浦"
紀の川第３緑地,クローバー,"和歌山県和歌山市有本地先"
紀の川第８緑地,クローバー,"和歌山県和歌山市粟３６－３"
びわ湖テラス,ダイヤ,"滋賀県大津市木戸1547-1"
摩耶山掬星台,ダイヤ,"兵庫県神戸市灘区摩耶山町2-2"
あべのハルカス,ダイヤ,"大阪府大阪市阿倍野区阿倍野筋1-1-43"
神戸ポートタワー,ダイヤ,"兵庫県神戸市中央区波止場町5-"
梅田スカイビル空中庭園展望台,ダイヤ,"大阪府大阪市北区大淀中1-1-88 梅田スカイビル"
通天閣,ダイヤ,"大阪府大阪市浪速区恵美須東1-18-6"
六甲ガーデンテラス,ダイヤ,"兵庫県神戸市灘区六甲山町五介山1877-9"
うずの丘　大鳴門橋記念館,ダイヤ,"兵庫県南あわじ市福良丙947-2"
道の駅　アグリパーク竜王,ダイヤ,"滋賀県蒲生郡竜王町山之上6526"
空庭温泉 OSAKA BAY TOWER,ダイヤ,"阪府大阪市 港区弁天1-2-3"
ふくろうの湯,ダイヤ,"和歌山市本町2丁目1番地"
船岡温泉,ダイヤ,"京都府京都市北区紫野南舟岡町82-1 船岡温泉"
白浜温泉　崎の湯,ダイヤ,"和歌山県西牟婁郡白浜町1688"
吉川温泉　よかたん,ダイヤ,"兵庫県三木市吉川町吉安222"
